"runtime (min)","vote_average (%)"
"86","59.42"
"124","70.55"
"0","73.33"
"110","58.98"
"117","72.91"
"122","81.38"
"131","73.55"
"91","79.24"
"88","71.01"
"120","74.9"
"170","0"
"86","79"
"112","71.4"
"139","68.63"
"109","72.05"
"135","72.39"
"104","65.5"
"143","67.21"
"103","73.02"
"109","62.59"
"111","66.96"
"100","62.77"
"107","70.02"
"148","70.2"
"25","63.77"
"135","78.63"
"95","69.3"
"101","67.85"
"127","54.58"
"121","79.04"
"109","80.59"
"120","75"
"95","68.41"
"113","65.96"
"77","55.77"
"99","67.26"
"125","0"
"126","70.17"
"97","54.55"
"114","59.71"
"158","73.19"
"88","63.73"
"136","66.48"
"132","75.27"
"93","67.32"
"126","72.32"
"87","72.99"
"147","74.45"
"111","73.72"
"131","77"
"58","59"
"89","46.96"
"111","68.1"
"105","61.2"
"138","56.29"
"94","59.92"
"87","22"
"57","64.82"
"147","76.02"
"117","78.17"
"76","67.78"
"127","71"
"113","66.43"
"101","59.4"
"134","75.56"
"100","65.6"
"112","64.9"
"98","60.84"
"117","73.4"
"108","74"
"98","61.34"
"76","71.19"
"113","62.98"
"111","66.63"
"107","62.68"
"93","73"
"97","60.61"
"126","75.54"
"99","76.81"
"97","70.5"
"124","65.75"
"95","70.61"
"104","65.66"
"106","59.88"
"128","63.3"
"125","69"
"97","63.99"
"150","74.32"
"98","82.95"
"120","59.08"
"161","78.46"
"92","62.9"
"128","69.31"
"115","66.97"
"164","76"
"127","65.96"
"128","68.4"
"109","78.02"
"140","78"
"110","66.55"
"118","67.65"
"90","68.02"
"140","75.9"
"122","66.68"
"128","0"
"112","70.5"
"75","75.03"
"111","71"
"130","80.87"
"99","75.37"
"133","67.5"
"90","58.68"
"115","66"
"143","75.45"
"89","56.96"
"116","62.97"
"162","74.29"
"111","61.42"
"102","60.04"
"130","64.81"
"86","66.18"
"120","55.74"
"89","66.35"
"137","70.51"
"104","55.59"
"94","65.7"
"45","71.08"
"125","65.86"
"93","64.76"
"83","63.34"
"116","68.87"
"128","64.19"
"144","78.32"
"141","72.16"
"116","70"
"91","71.11"
"111","72.64"
"129","80.31"
"90","59"
"75","71.94"
"85","73"
"96","59.06"
"106","63.16"
"115","78.45"
"101","69.98"
"115","67.7"
"136","71.12"
"44","90"
"97","66.86"
"94","64"
"125","65"
"104","63"
"113","63.52"
"92","64.83"
"129","84.29"
"90","65.48"
"118","78"
"117","68.86"
"116","68.2"
"113","73"
"43","51.79"
"127","75.09"
"93","64.13"
"137","66.26"
"113","72.32"
"151","64.12"
"147","78.07"
"115","71.66"
"94","72.16"
"44","70"
"114","75.13"
"115","73.33"
"140","65.48"
"107","66.86"
"124","67"
"107","64.49"
"129","71.4"
"99","62.13"
"94","66.55"
"110","79.96"
"102","63.2"
"100","59.85"
"100","59.14"
"93","70"
"116","84.49"
"98","67.43"
"90","81.36"
"119","72.04"
"135","75.41"
"99","67.32"
"90","65.08"
"116","71"
"108","77"
"116","64"
"77","75.79"
"216","70"
"99","57.37"
"106","71.42"
"105","66.9"
"105","61.99"
"108","63"
"108","79.37"
"95","69.62"
"100","76.36"
"90","60.19"
"75","73.05"
"87","63.71"
"131","74.19"
"102","74.17"
"105","60.07"
"101","65.65"
"110","73.48"
"209","75.92"
"90","67"
"103","75.74"
"132","70.2"
"102","76.7"
"112","69.78"
"9","65"
"136","75.03"
"101","55.53"
"116","54.57"
"110","62"
"95","57.66"
"155","59"
"94","55"
"90","72.47"
"97","73.63"
"107","65.77"
"90","66"
"102","72.47"
"106","66.44"
"92","54.62"
"91","60.94"
"100","75"
"95","73.02"
"104","71.08"
"94","95"
"99","73.13"
"87","76.31"
"119","56.24"
"111","83.01"
"93","69"
"96","72"
"125","68.66"
"150","69.8"
"100","57.11"
"123","76.4"
"111","73.13"
"89","82.57"
"95","57.77"
"118","64.35"
"132","80.18"
"147","74.3"
"93","62.07"
"90","66.31"
"117","74.58"
"101","72.79"
"90","76.8"
"91","78.13"
"119","67"
"76","78.35"
"101","57"
"124","67.79"
"125","85.37"
"224","67"
"105","69.07"
"100","70.06"
"191","75.56"
"139","90"
"148","73.79"
"100","76.93"
"105","63.52"
"122","74"
"115","74.18"
"86","60.87"
"15","60"
"201","68"
"119","67.71"
"90","70"
"61","65.11"
"229","84.09"
"108","76.64"
"120","64.94"
"99","58.16"
"106","78.69"
"98","64.33"
"38","60"
"98","78.37"
"107","44.56"
"101","52"
"128","62"
"102","83.23"
"85","58.28"
"131","63.52"
"95","76.51"
"96","68.38"
"102","70.5"
"137","80.36"
"68","70"
"41","67.9"
"30","68.01"
"92","65.94"
"94","70.55"
"127","82"
"102","76.2"
"121","69.49"
"120","63.95"
"90","68.67"
"103","61.22"
"102","71.88"
"122","69.69"
"93","70.94"
"108","62.79"
"149","74.82"
"60","76.79"
"84","50"
"99","79"
"97","75.94"
"169","72.59"
"144","78"
"114","67.02"
"104","80.92"
"82","56"
"126","62.95"
"106","61.44"
"119","83.37"
"130","63.43"
"97","62.18"
"101","71.96"
"139","67.42"
"118","77.05"
"104","77.93"
"129","69.75"
"104","58"
"85","57.34"
"111","44"
"129","62.88"
"115","74.81"
"124","68.02"
"100","73.32"
"117","82.92"
"91","65.99"
"116","72.37"
"88","52.74"
"109","73.13"
"99","67"
"98","67.58"
"129","76.26"
"142","65.74"
"93","72.52"
"100","76"
"106","76.88"
"120","74.65"
"119","55.84"
"44","67"
"102","74.28"
"105","78"
"93","57"
"82","55.28"
"126","69"
"88","61.02"
"98","77.35"
"89","86"
"123","49"
"92","72.74"
"96","35"
"96","65"
"95","56.39"
"105","69.2"
"91","73"
"96","67.91"
"101","67.39"
"101","74.44"
"106","65.1"
"102","76.72"
"99","68.77"
"85","61.67"
"101","79.71"
"98","66.17"
"118","64.86"
"132","75.23"
"110","73"
"94","57.61"
"108","60.63"
"46","61.25"
"103","63.61"
"108","71.71"
"125","82"
"96","61.12"
"112","70.34"
"124","63.46"
"99","60.18"
"141","76.88"
"111","68"
"102","72.44"
"86","72.56"
"28","84.81"
"188","77.55"
"105","55"
"130","79"
"98","80.89"
"97","74.34"
"91","62.34"
"118","70.08"
"94","76"
"112","60"
"105","70.31"
"149","78.9"
"95","63.17"
"159","74.86"
"91","55.12"
"109","71"
"105","71.89"
"91","64.33"
"122","63.85"
"139","69.65"
"125","67.26"
"155","65.56"
"116","69.13"
"110","82.96"
"80","55.91"
"102","72"
"112","59.42"
"112","79.2"
"116","67.93"
"96","74.03"
"95","56.06"
"126","69.34"
"138","67.16"
"114","74.15"
"138","70.56"
"133","64"
"102","60"
"145","86"
"103","57"
"90","61.11"
"110","64.23"
"118","72"
"140","83"
"114","64.6"
"118","83"
"115","52"
"97","59"
"123","83"
"126","69.35"
"112","66"
"162","75.88"
"117","62.05"
"87","53"
"108","71.25"
"131","88"
"128","71.35"
"153","82.16"
"103","71.67"
"94","62.63"
"93","67.73"
"93","71.36"
"117","66.07"
"123","75"
"104","61.62"
"104","55.3"
"107","62.75"
"102","69.33"
"108","67.07"
"140","68.44"
"93","63.81"
"111","74.1"
"111","65.36"
"54","0"
"87","78.2"
"115","68"
"94","57"
"143","66.31"
"144","72.71"
"100","53.58"
"89","62.36"
"125","68.47"
"145","82.06"
"70","63"
"79","75"
"116","69.61"
"115","71.96"
"93","68.97"
"100","53.33"
"91","61.02"
"6","0"
"91","64.25"
"99","66.92"
"99","78.33"
"90","58"
"99","58.07"
"100","78.15"
"95","64"
"140","65.35"
"104","67.94"
"86","64.91"
"102","64.21"
"90","69"
"84","68.3"
"111","74.92"
"104","59.47"
"84","60"
"107","76.4"
"105","65"
"107","60"
"124","69.4"
"80","81"
"87","51"
"97","59.44"
"86","71.07"
"121","78.73"
"107","55.03"
"126","70.39"
"114","73.64"
"141","68.35"
"105","77.16"
"75","64.09"
"60","100"
"102","66.34"
"136","76.54"
"179","79.95"
"120","68.24"
"100","72"
"125","66"
"122","72.1"
"81","70.28"
"107","61.78"
"100","62.66"
"109","55"
"59","68"
"114","57.95"
"91","65"
"117","61.96"
"140","71"
"122","57.43"
"97","60.25"
"123","61.84"
"152","85.2"
"103","74"
"90","54.24"
"134","58"
"138","82.3"
"124","77"
"175","72"
"130","83"
"113","68.11"
"112","80"
"127","81"
"104","57.42"
"84","59.97"
"100","63.24"
"119","52"
"119","67.16"
"95","70"
"112","62.69"
"102","66.65"
"113","67.41"
"104","67.44"
"121","65.93"
"95","68.6"
"96","58.95"
"97","72.17"
