"sum ( revenue )","budget","popularity"
"2000000","45000000","11.1474"
"30823000","21035003","13.2108"
"3200000","0","11.4243"
"125000000","37500000","10.9418"
"1236000000","250000000","10.8837"
"0","0","8.3115"
"61294644","6000000","9.6875"
"8100000","0","12.1698"
"0","0","14.2585"
"76347426","10500000","14.6225"
"0","0","10.9011"
"239606210","14000000","8.4704"
"11700000","4000000","12.0337"
"9649013","0","7.131"
"83000000","45000000","20.1272"
"150816700","23000000","8.2188"
"49111202","50000000","8.4418"
"1001978080","165000000","30.0066"
"34300000","7000000","10.4369"
"363889678","42000000","17.6603"
"752600867","165000000","14.1668"
"0","0","56.5862"
"7621364","0","9.1142"
"470759687","60000000","7.7195"
"332000000","40000000","8.3992"
"0","0","11.3619"
"136284218","30000000","9.3079"
"20700000","4000000","10.5825"
"1067316101","200000000","11.9796"
"20000000","90000000","8.8868"
"102244770","36000000","13.1738"
"0","45000000","10.9056"
"138003641","65000000","27.2449"
"100523181","8000000","8.9456"
"21815482","0","10.5404"
"42170089","0","9.5629"
"16000000","38000000","9.608"
"465361176","103000000","38.2069"
"54700000","20000000","11.4226"
"4360000","397751","14.4198"
"10060903","0","10.7382"
"0","0","10.3258"
"66315230","29000000","9.6134"
"4755330","55000000","288.7711"
"331526598","110000000","20.6355"
"632091832","130000000","21.8572"
"0","0","11.2829"
"0","0","10.6272"
"58972904","5500000","8.516"
"0","0","7.8522"
"10642859","0","11.9446"
"0","5500000","13.8681"
"0","40000000","22.0305"
"75500000","52000000","11.357"
"8266343","11000000","8.4526"
"75734910","20000000","10.9056"
"0","0","20.0406"
"17500000","3000000","22.6171"
"0","0","6.8661"
"0","0","16.4469"
"79700000","40000000","12.1987"
"15440333","1000000","12.0971"
"703447978","75000000","20.0637"
"562363449","207000000","9.0161"
"30375578","0","7.3714"
"0","0","7.8798"
"3645308","0","7.3741"
"69995385","15000000","13.2951"
"336000","0","10.904"
"149200000","25000000","13.2129"
"1445638421","145000000","27.8793"
"50548152","45000000","11.3305"
"0","0","8.2894"
"775398007","11000000","67.2931"
"17643857","18000000","10.708"
"64337744","62770198","13.0935"
"0","0","8.9016"
"219851172","200000000","12.2444"
"0","2500000","12.4757"
"24340302","5500000","10.6595"
"147080413","102000000","12.4255"
"314400000","150000000","13.7087"
"104931801","11000000","142.8897"
"118133252","40000000","18.8623"
"19504039","3500000","13.4664"
"0","0","10.1334"
"0","55000000","8.3319"
"2500000","6000000","11.3352"
"25232289","46000000","11.5353"
"14204632","150000","10.9593"
"0","0","22.2605"
"107000000","50000000","8.1797"
"47386287","60000000","13.7615"
"7589829","0","8.0825"
"0","0","7.2289"
"273600000","50000000","14.5508"
"1488732821","170000000","26.1464"
"0","0","8.8432"
"0","0","7.6918"
"125586134","17000000","7.1815"
"0","0","28.9201"
"0","0","9.1423"
"170432927","100000000","8.314"
"186003591","45000000","17.2886"
"275300000","75000000","18.172"
"336365676","200000000","11.5081"
"484592874","80000000","9.3112"
"66984887","10500000","8.6773"
"25895760","0","10.6672"
"31843086","27500000","7.8499"
"0","4000000","7.8545"
"3607899","2000000","8.1434"
"0","0","8.5474"
"389925971","18000000","23.8222"
"0","0","23.9454"
"60795985","28000000","12.0468"
"61779301","17000000","21.0572"
"181001478","80000000","11.9373"
"1681521","0","11.3291"
"48350205","40000000","11.8518"
"0","0","14.4436"
"0","0","7.5778"
"14400000","200000000","24.3011"
"51001975","30000000","8.5135"
"0","0","7.6868"
"33748006","0","15.2821"
"0","0","12.0202"
"152300000","55000000","12.1363"
"0","0","15.1187"
"74542088","27000000","11.418"
"27500000","40000000","9.941"
"55534455","17000000","8.9362"
"8217997","0","8.6258"
"823970682","149000000","117.7761"
"0","65000000","15.1131"
"102825796","47000000","11.4212"
"0","0","7.3459"
"67800064","22000000","9.1251"
"0","0","16.656"
"54956140","20000000","8.034"
"0","0","12.4131"
"291465000","90000000","10.9396"
"1025467110","200000000","12.7883"
"352114312","52000000","28.4929"
"130423032","100000000","17.8445"
"352496","0","10.4095"
"0","20000000","16.0327"
"137300000","85000000","12.5104"
"563749323","110000000","13.8676"
"26000000","2800000","7.7315"
"0","0","10.0862"
"2739967","0","9.2901"
"751736617","150000000","28.4743"
"348319861","34000000","27.9389"
"2373203","0","11.103"
"26000000","29000000","8.4232"
"75026327","8000000","12.2469"
"86658558","70000000","9.0699"
"0","0","13.2492"
"20289986","15000000","8.0987"
"32900000","40000000","10.317"
"0","0","7.8027"
"261317921","65000000","18.2129"
"178000000","80000000","8.196"
"0","0","6.9639"
"82150642","30000000","9.3711"
"173013509","79000000","8.2518"
"2150000000","80000000","35.6699"
"4853595","4000000","8.8385"
"18887953","15000000","9.9007"
"0","0","19.5258"
"296938801","63000000","16.0542"
"6497252","0","8.5536"
"64400000","24000000","9.1602"
"6206231","25600000","12.5081"
"20768817","0","10.0432"
"303000000","3600000","6.2899"
"35271631","10000000","8.8451"
"0","0","7.9718"
"3139717","18000000","9.8499"
"631058917","108000000","12.1416"
"150300000","50000000","11.059"
"457696391","80000000","25.606"
"153083102","11000000","15.2982"
"0","40000000","9.5869"
"88224","0","8.0768"
"0","0","8.0413"
"0","0","7.3243"
"312897920","40000000","25.0002"
"90200000","38000000","16.6346"
"91500000","50000000","13.6164"
"304079764","40000000","9.2898"
"0","100000000","11.8124"
"0","0","9.9247"
"8038061","18000000","9.8412"
"133752825","25000000","12.1433"
"73621640","180000000","10.7192"
"199043242","60000000","10.1664"
"1647675","0","8.3059"
"0","2600000","15.4622"
"25900000","27000000","10.7966"
"1970445","20000000","12.5915"
"735099082","175000000","14.8646"
"0","0","8.3606"
"87700000","107000000","10.3651"
"22618511","0","9.3396"
"2800000","0","8.4991"
"187361754","55000000","9.9839"
"0","0","46.592"
"0","0","8.3968"
"0","1500000","10.2362"
"386839614","150000000","7.1362"
"566006","0","9.252"
"0","0","8.7752"
"60934894","20000000","32.7587"
"0","0","11.0306"
"149700000","79000000","9.9994"
"0","0","10.4108"
"190458706","54000000","11.2975"
"0","0","11.7341"
"715074","4250000","15.5921"
"21029340","6000000","12.3637"
"0","0","10.8406"
"0","0","9.6732"
"0","0","7.4043"
"2000000","100000","10.5548"
"9644124","3180000","61.1681"
"46393906","20000000","22.0314"
"3891","0","9.5576"
"1076099","0","17.2842"
"109502303","16000000","7.9772"
"151572634","69000000","14.2673"
"76300000","15000000","8.8227"
"1700000","2400000","7.8271"
"0","0","8.9661"
"0","0","6.8927"
"113100000","37000000","13.1794"
"4244576","0","9.6344"
"68296293","22000000","8.1277"
"1104682","4000000","8.5031"
